text,date,likes,topic
прозорість зрости але проблема з контроль і локалізація не меншати що відбуватися із державний закупівля пояснювати катерина русіна,2025-05-27 10:26:14+00:00,0,спорт
канцлер німеччина пояснити свій заява про скасування ліміт для україна на дальність удар по росія,2025-05-27 10:24:20+00:00,0,спорт
rt 27052025 0815 день грем ми готовий ввести 500 мито на країна що купувати московський енергоносій зробивши з рф остер,2025-05-27 10:18:38+00:00,0,спорт
rt такий рішення могти суттєво змінити хід війна та посилити тиск на кремль,2025-05-27 10:16:28+00:00,0,спорт
ангеліна гузик з херсон здобути золото на чемпіонат німеччина з бокс серед жінка до 19 рік у категорія до 54 кг змагання проходити з 20 по 23 травень в вісмар,2025-05-27 10:15:05+00:00,0,політика
татьяна монтян киеву дати зеленый свет скоро бомбы будут лететь с большим размахом подробности,2025-05-27 10:08:05+00:00,0,політика
rt передати зсу mercedes який бути заряджати танок,2025-05-27 10:06:34+00:00,0,спорт
rt передати зсу mercedes який бути заряджати танок,2025-05-27 10:05:42+00:00,0,спорт
україна стати учасниця перший у світ юридично зобовязуючої міжнародний конвенція про штучний інтелект крім той країна впроваджувати система huderia для оцінка відповідність технологія ші новий міжнародний стандарт,2025-05-27 10:02:51+00:00,0,технології
в китай відреагувати на заява голова український служба зовнішній розвідка про поставка військовий завод рось,2025-05-27 09:55:50+00:00,0,спорт
