text,predicted_topic,true_topic
RT @adrozd83: #Київ / #Kyiv https://t.co/V5UYsHz3RZ,політика,політика
"🏙️👀🕵️‍♀️ Футболка ""Вікно. Сусіди — загадка. Погляд на міські історії від Згадки!"" 

https://t.co/OEV4JGD3S5

#ВікноСусідиЗагадка #МіськіІсторії #Спостереження  #Урбаністика #Згадка #ФутболкаЗПринтом #СтильнийОбраз #ПрихованийЗміст #Україна #ПодарунокДляСпостерігачів #ЖиттяЗаВікном https://t.co/C9PMCssmHn",спорт,політика
"🌍 92% українців вважають корупцію серйозною загрозою, майже стільки ж, скільки війну - 95%. Частка тих, хто вважає корупцію дуже поширеною, зросла до 63%. #Суспільство #Україна #Корупція

https://t.co/Fnfa1UyAZ9",спорт,політика
"Музика смерті не давала спати.
Проспала екскурсію...все хуйня, короче.
#Київ  #шахеди https://t.co/jihkzEiCcm",спорт,політика
"🇺🇸Спецпредставник президента США @SPE_Kellogg назвав обмін полоненими між Україною та РФ ""найпозитивнішим результатом"" переговорів у Стамбулі

#обмін #полонені #війна #Україна #Келлог  

https://t.co/UTsRwGKgrL",політика,політика
"RT @adrozd83: Лук’янівка. Перший в Україні 'McDonald's', 24.05.1997 #Київ https://t.co/dpEX0emKPq",спорт,економіка
#Україна #СБУ #зрада #ПавлоБройде #агентиКремля #ІринаКременовська #ОлексійСвятого #живодер #догхантер https://t.co/hVQZF2BoNJ,спорт,економіка
RT @adrozd83: 24.05.2025 #Київ https://t.co/SnGrp367OB,спорт,економіка
#Київ https://t.co/yII8RMpp1S,спорт,економіка
"Дамаск позитивно відреагував на зміну курсу США.

#новини #політика #сирія #санкції #сша

https://t.co/MSjtaV08Zx",політика,економіка
"RT @adrozd83: Відкриття першого в Україні ""McDonald's"", біля станції метро ""Лук’янівська"". Фото: 24.05.1997 #Київ https://t.co/nCys3EHH4P",спорт,технології
"Tarantino 🎬🕺💥 Футболка ""Кримінальне чтиво. Танець — культовий принт від Згадки!"" 

https://t.co/1a1afNHKo5

#КримінальнеЧтиво #PulpFiction #КультовийПринт #Танець #Кіно #Тарантіно #Легенда #Згадка #ФутболкаЗПринтом #КультовийОбраз #Україна #ПодарунокКіноману #КіноНазавжди https://t.co/QLxNCXkaIF",культура,технології
"RT @MamedovGyunduz: Доброго ранку, Україно!
28440 годин опору, дякую🇺🇦
Гімн #Україна у виконанні Влади Сінчук

Good morning, Ukraine! 
2844…",спорт,технології
RT @adrozd83: 24.05.2025 #Київ https://t.co/SnGrp367OB,спорт,технології
RT @U_Tribune: Формально МП нібито не має жодних прав на перебування на території Лаври – але їхні представники там досі живуть і служать –…,технології,технології
RT @adrozd83: 24.05.2025 #Київ https://t.co/SnGrp367OB,спорт,культура
RT @U_Tribune: Формально МП нібито не має жодних прав на перебування на території Лаври – але їхні представники там досі живуть і служать –…,технології,культура
"Чи можна допустити, щоб депутати приймали нікому не потрібні закони, впроваджуючи застарілі практики управління? Як пише Євген Курілов у статті «KPI замість реального перезавантаження податкової?», така ймовірність існує.

#аналітика #економіка

https://t.co/X5h7rRRLcO",економіка,культура
"RT @WendenGall: Ваші діти мають вмирати за наших дітей століттями! –– каже заступник голови Офіса президента #Україна.

Ми, ваші аристократ…",політика,культура
RT @adrozd83: 24.05.2025 #Київ https://t.co/SnGrp367OB,спорт,культура
